"","id","name","screen_name","Potential_Climate_Denial"
"1016",731318830115360768,"Governor Kate Brown","OregonGovBrown","0"
"1017",733677412559556608,"Bernie Sanders","SenSanders","0"
"1018",735847644753317888,"Senator Ted Cruz","SenTedCruz","1"
"1019",722811812341751808,"Amy Klobuchar","amyklobuchar","1"
"1020",723508734190850048,"Paul Tonko","RepPaulTonko","1"
"1021",723549878006243328,"Senator Gary Peters","SenGaryPeters","0"
"1022",737767883413934080,"Governor Kate Brown","OregonGovBrown","0"
"1023",727853799948337152,"Senator Ben Cardin","SenatorCardin","0"
"1024",744531238510288896,"Ed Markey","SenMarkey","0"
"1025",722825089130045440,"David Cicilline","RepCicilline","0"
"1026",722906699971977216,"David Cicilline","RepCicilline","0"
"1027",737057755027111936,"Bernie Sanders","SenSanders","0"
"1028",721821603089289216,"Bernie Sanders","SenSanders","0"
"1029",738155840469766144,"Governor Kate Brown","OregonGovBrown","0"
"1030",747508101700521984,"Bernie Sanders","SenSanders","1"
"1031",720385761116225536,"Mark DeSaulnier","RepDeSaulnier","1"
"1032",733088071479099392,"Bernie Sanders","SenSanders","1"
"1033",735937081868967936,"Sen. Patrick Leahy","SenatorLeahy","0"
"1034",736264085474582528,"Senator Dick Durbin","SenatorDurbin","0"
"1035",744989477144231936,"TeamMoulton","teammoulton","0"
"1036",723533014643433472,"Sen Dianne Feinstein","SenFeinstein","0"
"1037",735513302592294912,"Paul Tonko","RepPaulTonko","0"
"1038",743171145701142528,"Sheldon Whitehouse","SenWhitehouse","0"
"1039",738053031078465536,"Governor Kate Brown","OregonGovBrown","0"
"1040",722518918280032256,"Senator Angus King","SenAngusKing","0"
"1041",722083600427020288,"Jim Langevin","JimLangevin","0"
"1042",722774695695794176,"Rep. Carlos Curbelo","RepCurbelo","0"
"1043",731148787205443584,"Bernie Sanders","SenSanders","0"
"1044",731209602700857344,"Judy Chu","RepJudyChu","0"
"1045",735228185273585664,"Sheldon Whitehouse","SenWhitehouse","0"
"1046",742498559073890304,"Bernie Sanders","SenSanders","0"
"1047",743150683193487360,"Brian Higgins","RepBrianHiggins","0"
"1048",745269968481226752,"Ed Markey","SenMarkey","0"
"1049",722142600774492160,"Sen. Al Franken","SenFranken","0"
"1050",723551209697595392,"Governor Dan Malloy","GovMalloyOffice","0"
"1051",738724553720004608,"Bernie Sanders","SenSanders","0"
"1052",743480506642116608,"Congressman Ken Buck","RepKenBuck","0"
"1053",723616748956704768,"Sen. Al Franken","SenFranken","0"
"1054",722426502789390336,"Jim Inhofe","JimInhofe","0"
